Unique Lead Assignment Number,Lead Source Name,"Lead Source Details , if any",Suspect Creation date by Lead Originator,Suspect Creation by Lead Originator Name,Customer Name,Address Line 1,Address Line 2,City,State,Post Code,Main Phone #,Contact Person Name,Contact Person Email,Contact person Designation,Contact Person Phone,Website,Physical Channel,SSM Number /Business Registration Number,Competitors,Total Potential Revenue/Month,Industry,Suspect Accepted By,Suspect Accepted By,Prospect Accepted By,Prospect Accepted By,Source Type,Lead Priority Level,SCORE
,,,,,zzzzzzFAB INDUSTRIES SDN BHD,"29, JALAN MERU INDAH 20,",,KLANG,,42200,60138309XXX,,,Director & above,,www.abc/com,B2B,,Others,MYR5000,,,,,,,,
,,,,,uuuuTECH LOGISTIC,"LOT 77, PT 5118, NO.5 (GROUND FLOOR),","JALAN PRIMA 5,",PORT DICKSON,,71010,60126585XXX,,,,,www.pqrx.com.my,B2C,,,MYR15000,,,,,,,,
,,,,,CAKEeeeee CENTRAL SDN BHD,"36 Jalan PJU 1A/12,",Taman Perindustrian Jaya,PETALING JAYA,,46050,6012234xxxx,,,,,,B2B,,,MYR25000,,,,,,,,
,,,,,BARBER qqqqqqq SDN BHD,Unit B-07-3,,KUALA LUMPUR,,50480,601630xxxx,,,,,,B2C,,,MYR5000,,,,,,,,
,,,,,tttt TECHNOLOGIES SDN BHD,"L11,THOMSON HOSPITAL","KOTA DAMANSARA 11, JALAN",XX,,47810,,,,,,,B2B,,,MYR5000,,,,,,,,
,,,,,fgfgff-LINE SDN BHD,"NO.58, LANANG ROAD",,SIBU,,96000,,,,,,,B2C,,,"MYR10,000",,,,,,,,
,,,,,rrrWORTH SDN BHD,LOT F-1,MPL SAGUKING INDUSTRIAL ESTATE. JALAN,XX,,87000,,,,,,,B2B,,,MYR7000,,,,,,,,
,,,,,yyyyyy ENGINEERING AND CONSTRUCTION SDN BHD,NO 20 JALAN BAKTI,65 TAMAN MUTIARA RINI SKUDA,XX,,81300,,,,,,,B2C,,,MYR2000,,,,,,,,
,,,,,uuuuu WORKS SDN BHD,"28 JALAN BS 9/10,",KAW PERINDUSTRIAN BS 9,SERI KEMBANGAN,,43300,,,,,,,B2B,,,MYR2500,,,,,,,,
,,,,,ddd AUTOMOTIVE,"12 JALAN ASTAKA U8/L,",BUKIT JELUTONG,SHAH ALAM,,40150,,,,,,,B2C,,,MYR 3500,,,,,,,,
